# x	y_noisy
0.00000	0.02164
0.00314	0.03596
0.00628	0.12024
0.00943	-0.04741
0.01257	-0.02758
0.01571	-0.01908
0.01885	-0.02228
0.02199	0.05767
0.02514	0.01705
0.02828	-0.04808
0.03142	-0.04541
0.03456	0.15799
0.03770	0.24509
0.04084	0.04892
0.04399	-0.00718
0.04713	0.00945
0.05027	0.15369
0.05341	-0.02489
0.05655	0.03796
0.05970	0.02898
0.06284	-0.16606
0.06598	0.14526
0.06912	0.16650
0.07226	0.17341
0.07541	0.13468
0.07855	0.04899
0.08169	0.02017
0.08483	0.25862
0.08797	-0.00381
0.09112	0.23075
0.09426	0.12250
0.09740	0.13649
0.10054	-0.06754
0.10368	0.15153
0.10682	0.02918
0.10997	0.14649
0.11311	0.19136
0.11625	0.00509
0.11939	0.14433
0.12253	0.02353
0.12568	0.01081
0.12882	0.20511
0.13196	0.01254
0.13510	0.10251
0.13824	0.06491
0.14139	0.20420
0.14453	0.13676
0.14767	0.27291
0.15081	0.17829
0.15395	0.14557
0.15710	0.12054
0.16024	0.23409
0.16338	0.07596
0.16652	0.28328
0.16966	0.18639
0.17280	0.15502
0.17595	0.08337
0.17909	0.09546
0.18223	0.21055
0.18537	0.23580
0.18851	0.16867
0.19166	0.20537
0.19480	0.11238
0.19794	0.19029
0.20108	0.20164
0.20422	0.02169
0.20737	0.26734
0.21051	0.15891
0.21365	0.16644
0.21679	0.28495
0.21993	0.18336
0.22308	0.32361
0.22622	0.15105
0.22936	0.22770
0.23250	0.44494
0.23564	0.41686
0.23878	0.27684
0.24193	0.25259
0.24507	0.27106
0.24821	0.31341
0.25135	0.18748
0.25449	0.25236
0.25764	0.24011
0.26078	0.36636
0.26392	0.16456
0.26706	0.25263
0.27020	0.20381
0.27335	0.25847
0.27649	0.20775
0.27963	0.21387
0.28277	0.32262
0.28591	0.22283
0.28906	0.45401
0.29220	0.22042
0.29534	0.18493
0.29848	0.25158
0.30162	0.12587
0.30476	0.36611
0.30791	0.39132
0.31105	0.32798
0.31419	0.27374
0.31733	0.43171
0.32047	0.39237
0.32362	0.37319
0.32676	0.33541
0.32990	0.41048
0.33304	0.18621
0.33618	0.31126
0.33933	0.26136
0.34247	0.31959
0.34561	0.36461
0.34875	0.43946
0.35189	0.47036
0.35504	0.33571
0.35818	0.32721
0.36132	0.37358
0.36446	0.25924
0.36760	0.32874
0.37075	0.23051
0.37389	0.29408
0.37703	0.48696
0.38017	0.48123
0.38331	0.43041
0.38645	0.26147
0.38960	0.40813
0.39274	0.46690
0.39588	0.37642
0.39902	0.48088
0.40216	0.31469
0.40531	0.31050
0.40845	0.45763
0.41159	0.62317
0.41473	0.41762
0.41787	0.25681
0.42102	0.42874
0.42416	0.48002
0.42730	0.47625
0.43044	0.59548
0.43358	0.23717
0.43673	0.38585
0.43987	0.41374
0.44301	0.38063
0.44615	0.43944
0.44929	0.38452
0.45243	0.43238
0.45558	0.38255
0.45872	0.46241
0.46186	0.29973
0.46500	0.48082
0.46814	0.40049
0.47129	0.37980
0.47443	0.44481
0.47757	0.48220
0.48071	0.50984
0.48385	0.42772
0.48700	0.49001
0.49014	0.37404
0.49328	0.41676
0.49642	0.48090
0.49956	0.66769
0.50271	0.67495
0.50585	0.44787
0.50899	0.47531
0.51213	0.49749
0.51527	0.54022
0.51841	0.63445
0.52156	0.46266
0.52470	0.51818
0.52784	0.51294
0.53098	0.57624
0.53412	0.59918
0.53727	0.50026
0.54041	0.42264
0.54355	0.34535
0.54669	0.53514
0.54983	0.47519
0.55298	0.39882
0.55612	0.65973
0.55926	0.44522
0.56240	0.56737
0.56554	0.55067
0.56869	0.65186
0.57183	0.62272
0.57497	0.69734
0.57811	0.51737
0.58125	0.45275
0.58439	0.60868
0.58754	0.51543
0.59068	0.34932
0.59382	0.64065
0.59696	0.60255
0.60010	0.59187
0.60325	0.59898
0.60639	0.50466
0.60953	0.45653
0.61267	0.63064
0.61581	0.45381
0.61896	0.50213
0.62210	0.48160
0.62524	0.58103
0.62838	0.43916
0.63152	0.64014
0.63467	0.63057
0.63781	0.46719
0.64095	0.64561
0.64409	0.64611
0.64723	0.67308
0.65037	0.53012
0.65352	0.61287
0.65666	0.68299
0.65980	0.60952
0.66294	0.74522
0.66608	0.80426
0.66923	0.79224
0.67237	0.44159
0.67551	0.62127
0.67865	0.75550
0.68179	0.61781
0.68494	0.76768
0.68808	0.63586
0.69122	0.63926
0.69436	0.70358
0.69750	0.67856
0.70065	0.85386
0.70379	0.50109
0.70693	0.67998
0.71007	0.78131
0.71321	0.65118
0.71635	0.78176
0.71950	0.57982
0.72264	0.65604
0.72578	0.74550
0.72892	0.69228
0.73206	0.61391
0.73521	0.59597
0.73835	0.65670
0.74149	0.47181
0.74463	0.59348
0.74777	0.53800
0.75092	0.60470
0.75406	0.78821
0.75720	0.54463
0.76034	0.65506
0.76348	0.79569
0.76663	0.70521
0.76977	0.55198
0.77291	0.74417
0.77605	0.76332
0.77919	0.80688
0.78233	0.86349
0.78548	0.81671
0.78862	0.78404
0.79176	0.64865
0.79490	0.72742
0.79804	0.80031
0.80119	0.87287
0.80433	0.72187
0.80747	0.61450
0.81061	0.80824
0.81375	0.76232
0.81690	0.76294
0.82004	0.63755
0.82318	0.74175
0.82632	0.84638
0.82946	0.71505
0.83261	0.74920
0.83575	0.78537
0.83889	0.77797
0.84203	0.75804
0.84517	0.66688
0.84831	0.74631
0.85146	0.80770
0.85460	0.55971
0.85774	0.64034
0.86088	0.76080
0.86402	0.71072
0.86717	0.74131
0.87031	0.83733
0.87345	0.86303
0.87659	0.59899
0.87973	0.69320
0.88288	0.71223
0.88602	0.80925
0.88916	0.88645
0.89230	0.73951
0.89544	0.83593
0.89859	0.78635
0.90173	0.86876
0.90487	0.79899
0.90801	0.98527
0.91115	0.76762
0.91429	0.75360
0.91744	1.03650
0.92058	0.77994
0.92372	0.95028
0.92686	0.84309
0.93000	0.74666
0.93315	0.77099
0.93629	0.76899
0.93943	1.01006
0.94257	0.81921
0.94571	0.82901
0.94886	0.75601
0.95200	0.87208
0.95514	0.69712
0.95828	0.82844
0.96142	0.97917
0.96457	0.87676
0.96771	0.92498
0.97085	0.96278
0.97399	0.84693
0.97713	0.79276
0.98027	0.77873
0.98342	0.81400
0.98656	0.82823
0.98970	0.71504
0.99284	0.87836
0.99598	0.90733
0.99913	0.84451
1.00227	0.88873
1.00541	0.89231
1.00855	0.81547
1.01169	0.85247
1.01484	0.86513
1.01798	0.96519
1.02112	0.82896
1.02426	0.75454
1.02740	1.03570
1.03055	0.86213
1.03369	0.95526
1.03683	0.91188
1.03997	0.84940
1.04311	0.97284
1.04625	0.99155
1.04940	0.83442
1.05254	1.01002
1.05568	0.87107
1.05882	0.77281
1.06196	0.82956
1.06511	0.84478
1.06825	0.91139
1.07139	0.90881
1.07453	0.83752
1.07767	0.97249
1.08082	0.72151
1.08396	1.00880
1.08710	0.88933
1.09024	0.72575
1.09338	0.90389
1.09653	0.85526
1.09967	0.81942
1.10281	0.91605
1.10595	0.82450
1.10909	0.90006
1.11224	1.07922
1.11538	0.82720
1.11852	0.82932
1.12166	0.98034
1.12480	0.81308
1.12794	0.79464
1.13109	0.93332
1.13423	0.89298
1.13737	0.97456
1.14051	0.87477
1.14365	0.83123
1.14680	0.86810
1.14994	0.99445
1.15308	0.90753
1.15622	0.95025
1.15936	0.94604
1.16251	0.91319
1.16565	0.89040
1.16879	0.90628
1.17193	1.07913
1.17507	0.97695
1.17822	0.98557
1.18136	0.87219
1.18450	0.90437
1.18764	0.97429
1.19078	0.85977
1.19392	0.98873
1.19707	0.94548
1.20021	1.06953
1.20335	0.86821
1.20649	0.82504
1.20963	0.87358
1.21278	1.04033
1.21592	0.90082
1.21906	1.01280
1.22220	0.96496
1.22534	0.96519
1.22849	1.03250
1.23163	0.89036
1.23477	0.86332
1.23791	1.04820
1.24105	0.90002
1.24420	0.91842
1.24734	0.93389
1.25048	0.92956
1.25362	1.00172
1.25676	0.94784
1.25990	1.17580
1.26305	1.00775
1.26619	0.99096
1.26933	0.94729
1.27247	1.04745
1.27561	0.98854
1.27876	1.00016
1.28190	0.97908
1.28504	0.92866
1.28818	1.13706
1.29132	0.82501
1.29447	1.17517
1.29761	0.95399
1.30075	0.94358
1.30389	0.82496
1.30703	0.92499
1.31018	0.93581
1.31332	1.01295
1.31646	0.96440
1.31960	0.86366
1.32274	0.99444
1.32588	1.06629
1.32903	0.93367
1.33217	0.92385
1.33531	0.98324
1.33845	1.00344
1.34159	0.86887
1.34474	1.08680
1.34788	0.84204
1.35102	0.96588
